,patent_no,url,title,issue_date,date,num_patent,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
55,9587295,https://www.google.com/patents/US9587295,Austenitic alloy,3/7/17,7-Mar-17,10081,4,20,2,0,9,2
56,9587293,https://www.google.com/patents/US9587293,Lead-free solder alloy,3/7/17,7-Mar-17,10080,1,56,14,0,9,0
57,9583770,https://www.google.com/patents/US9583770,Manufacturing of high capacity prismatic lithium-ion alloy anodes,2/28/17,28-Feb-17,10079,5,26,5,0,32,1
58,9583626,https://www.google.com/patents/US9583626,Silicon germanium alloy fins with reduced defects,2/28/17,28-Feb-17,10078,3,14,0,0,17,1
59,9581146,https://www.google.com/patents/US9581146,Smart susceptor for a shape memory alloy (SMA) actuator inductive heating system,2/28/17,28-Feb-17,10077,6,9,4,0,5,1
60,9581145,https://www.google.com/patents/US9581145,Shape memory alloy actuation system for variable area fan nozzle,2/28/17,28-Feb-17,10076,1,31,2,0,8,1
61,9580830,https://www.google.com/patents/US9580830,Method of preparing a magnesium alloy substrate for a surface treatment,2/28/17,28-Feb-17,10075,1,7,0,0,7,4
62,9580784,https://www.google.com/patents/US9580784,Aluminum alloy wire and method of producing the same,2/28/17,28-Feb-17,10074,2,15,3,0,21,1
63,9580773,https://www.google.com/patents/US9580773,Niobium based alloy that is resistant to aqueous corrosion,2/28/17,28-Feb-17,10073,2,21,13,0,11,2
64,9579723,https://www.google.com/patents/US9579723,Molybdenum-niobium alloy plate target material processing technique,2/28/17,28-Feb-17,10072,1,9,2,0,24,1
65,9574281,https://www.google.com/patents/US9574281,Silver-containing alloy plating bath and method for electrolytic plating using same,2/21/17,21-Feb-17,10071,1,30,14,0,7,0
66,9574259,https://www.google.com/patents/US9574259,Method for producing high-strength magnesium alloy material and magnesium alloy rod,2/21/17,21-Feb-17,10070,1,12,9,0,11,1
67,9574258,https://www.google.com/patents/US9574258,Aluminum-alloy sheet and method for producing the same,2/21/17,21-Feb-17,10069,5,16,1,0,10,1
68,9574257,https://www.google.com/patents/US9574257,Powder of an alloy based on uranium and on molybdenum useful for manufacturing nuclear fuels and targets intended for producing radioisotopes,2/21/17,21-Feb-17,10068,7,16,4,0,14,1
69,9574253,https://www.google.com/patents/US9574253,"Aluminum alloy material, aluminum alloy structure, and manufacturing method for same",2/21/17,21-Feb-17,10067,5,18,2,0,38,1
70,9574248,https://www.google.com/patents/US9574248,"Method for solution hardening of a cold deformed workpiece of a passive alloy, and a member solution hardened by the method",2/21/17,21-Feb-17,10066,3,11,9,0,20,1
71,9573228,https://www.google.com/patents/US9573228,Ni_‹ÓTi_‹ÓCR near ternary eutectic alloy for gas turbine component repair,2/21/17,21-Feb-17,10065,1,7,2,0,13,1
72,9569913,https://www.google.com/patents/US9569913,Self-aligning termination for memory alloy wire,2/14/17,14-Feb-17,10064,3,14,2,0,5,1
73,9568047,https://www.google.com/patents/US9568047,"High-strength brass alloy for sliding member, and sliding member",2/14/17,14-Feb-17,10063,3,32,1,0,10,1
74,9567686,https://www.google.com/patents/US9567686,Aluminum oxide film remover and method for surface treatment of aluminum or aluminum alloy,2/14/17,14-Feb-17,10062,3,10,0,0,14,1
75,9567684,https://www.google.com/patents/US9567684,Method of obtaining a yellow gold alloy deposition by galvanoplasty without using toxic materials,2/14/17,14-Feb-17,10061,2,63,30,0,11,1
76,9567656,https://www.google.com/patents/US9567656,Nickel based alloy for forging,2/14/17,14-Feb-17,10060,3,15,6,0,10,0
77,9566746,https://www.google.com/patents/US9566746,Methods and tools for forming contoured composite structures with shape memory alloy,2/14/17,14-Feb-17,10059,2,18,9,0,12,1
78,9566367,https://www.google.com/patents/US9566367,Magnesium alloy and resorbable stents containing the same,2/14/17,14-Feb-17,10058,3,10,2,0,23,1
79,9564642,https://www.google.com/patents/US9564642,Durable fuel cell with platinum cobalt alloy cathode catalyst and selectively conducting anode,2/7/17,7-Feb-17,10057,4,10,2,0,9,2
80,9564254,https://www.google.com/patents/US9564254,"Aluminum alloy wire, and aluminum alloy twisted wire, covered electrical wire and wire harness using the same",2/7/17,7-Feb-17,10056,6,16,2,0,22,1
81,9562277,https://www.google.com/patents/US9562277,Magnesium alloy material and production process thereof,2/7/17,7-Feb-17,10055,6,13,6,0,6,1
82,9562276,https://www.google.com/patents/US9562276,Nickel alloy and articles,2/7/17,7-Feb-17,10054,3,16,4,0,9,1
83,9558872,https://www.google.com/patents/US9558872,"R-T-B rare earth sintered magnet, alloy for R-T-B rare earth sintered magnet, and method of manufacturing the same",1/31/17,31-Jan-17,10053,2,8,3,2,9,1
84,9558871,https://www.google.com/patents/US9558871,Fe-based amorphous alloy and dust core made using Fe-based amorphous alloy powder,1/31/17,31-Jan-17,10052,2,12,2,0,17,2
85,9555504,https://www.google.com/patents/US9555504,Method for assembling aluminum alloy parts by welding,1/31/17,31-Jan-17,10051,4,22,1,0,17,2
86,9555469,https://www.google.com/patents/US9555469,"Aluminum alloy casting and method for producing the same, and apparatus for producing slide member",1/31/17,31-Jan-17,10050,2,12,4,0,12,1
87,9555468,https://www.google.com/patents/US9555468,"Process and plant for producing components made of an aluminium alloy for vehicles and white goods, and components obtained thereby",1/31/17,31-Jan-17,10049,1,16,0,0,20,0
88,9555158,https://www.google.com/patents/US9555158,Nickel-free iron alloy for stents,1/31/17,31-Jan-17,10048,2,5,2,0,22,1
89,9551084,https://www.google.com/patents/US9551084,Sn alloy plating apparatus and Sn alloy plating method,1/24/17,24-Jan-17,10047,3,10,0,0,13,1
90,9551065,https://www.google.com/patents/US9551065,Al-based alloy sputtering target and Cu-based alloy sputtering target,1/24/17,24-Jan-17,10046,3,20,2,0,10,1
91,9551054,https://www.google.com/patents/US9551054,7xxx series aluminum alloy member excellent in stress corrosion cracking resistance and method for manufacturing the same,1/24/17,24-Jan-17,10045,2,11,1,0,4,1
92,9551051,https://www.google.com/patents/US9551051,Weldable oxidation resistant nickel-iron-chromium aluminum alloy,1/24/17,24-Jan-17,10044,3,16,2,0,10,1
93,9551050,https://www.google.com/patents/US9551050,"Aluminum alloy with additions of scandium, zirconium and erbium",1/24/17,24-Jan-17,10043,6,7,49,0,9,3
94,9551048,https://www.google.com/patents/US9551048,Atomized picoscale composition aluminum alloy and method thereof,1/24/17,24-Jan-17,10042,4,24,2,0,14,2
95,9548445,https://www.google.com/patents/US9548445,Amorphous alloy space for perpendicular MTJs,1/17/17,17-Jan-17,10041,3,15,2,0,13,1
96,9546829,https://www.google.com/patents/US9546829,Brazing sheet core alloy for heat exchanger,1/17/17,17-Jan-17,10040,5,52,12,0,24,6
97,9546740,https://www.google.com/patents/US9546740,Fluid cooled shape memory alloy actuated valve,1/17/17,17-Jan-17,10039,1,25,0,0,8,1
98,9546412,https://www.google.com/patents/US9546412,Powdered metal alloy composition for wear and temperature resistance applications and method of producing same,1/17/17,17-Jan-17,10038,6,73,7,0,8,3
99,9546411,https://www.google.com/patents/US9546411,Aluminum-alloy sheet and method for producing the same,1/17/17,17-Jan-17,10037,5,20,1,0,6,1
100,9546410,https://www.google.com/patents/US9546410,"Bronze alloy for musical instrument, and percussion instrument using the same",1/17/17,17-Jan-17,10036,5,2,0,0,5,1
101,9546098,https://www.google.com/patents/US9546098,Method for preparing aluminum-zirconium-boron alloy and synchronously preparing crylite,1/17/17,17-Jan-17,10035,5,2,2,0,13,1
102,9543588,https://www.google.com/patents/US9543588,Aluminum alloy foil for electrode collectors and production method therefor,1/10/17,10-Jan-17,10034,4,13,7,0,30,1
103,9543063,https://www.google.com/patents/US9543063,Continuous hydrogen pulverization method and production device of rare earth permanent magnetic alloy,1/10/17,10-Jan-17,10033,2,4,1,0,5,0
104,9541177,https://www.google.com/patents/US9541177,Ratcheting shape memory alloy actuators and systems and methods including the same,1/10/17,10-Jan-17,10032,3,15,2,0,6,1
105,9540712,https://www.google.com/patents/US9540712,Fine solid solution alloy particles and method for producing same,1/10/17,10-Jan-17,10031,3,12,6,0,14,0
106,9540711,https://www.google.com/patents/US9540711,Hardbanding alloy,1/10/17,10-Jan-17,10030,1,17,4,0,13,3
107,9539626,https://www.google.com/patents/US9539626,Method of rolling NiW alloy tapes for coated conductors,1/10/17,10-Jan-17,10029,9,3,0,0,11,1
108,9534308,https://www.google.com/patents/US9534308,Protecting anodes from passivation in alloy plating systems,1/3/17,3-Jan-17,10028,4,65,11,0,13,1
109,9534282,https://www.google.com/patents/US9534282,Method for manufacturing aluminum based alloy-made fastening part and aluminum based alloy-made fastening part,1/3/17,3-Jan-17,10027,1,25,0,0,14,1
110,9534280,https://www.google.com/patents/US9534280,"Austenitic iron-based alloy, turbocharger and component made thereof",1/3/17,3-Jan-17,10026,1,8,0,0,26,1
111,9533379,https://www.google.com/patents/US9533379,Phosphorous-copper base brazing alloy,1/3/17,3-Jan-17,10025,1,36,4,0,8,2
112,9533346,https://www.google.com/patents/US9533346,Systems and methods for forming and processing alloy ingots,1/3/17,3-Jan-17,10024,1,175,35,0,12,2
113,9533339,https://www.google.com/patents/US9533339,Method of producing a shaped Al alloy panel for aerospace applications,1/3/17,3-Jan-17,10023,2,10,4,0,6,1
114,9532493,https://www.google.com/patents/US9532493,Surface treating composition for copper and copper alloy and utilization thereof,12/27/16,27-Dec-16,10022,4,15,3,0,28,1
115,9531005,https://www.google.com/patents/US9531005,Synergistic multiphase hydride alloy,12/27/16,27-Dec-16,10021,2,8,1,0,7,1
116,9530627,https://www.google.com/patents/US9530627,Method for cleaning titanium alloy deposition,12/27/16,27-Dec-16,10020,6,5,0,0,7,3
117,9528171,https://www.google.com/patents/US9528171,"Alloy for seal ring, seal ring, and method of making seal ring for seal assembly of machine",12/27/16,27-Dec-16,10019,4,41,5,0,9,1
118,9527265,https://www.google.com/patents/US9527265,Polyethylene terephthelate part bonded to polyester and polycarbonate alloy part,12/27/16,27-Dec-16,10018,5,21,1,0,41,1
119,9524977,https://www.google.com/patents/US9524977,Metal-semiconductor alloy region for enhancing on current in a three-dimensional memory structure,12/20/16,20-Dec-16,10017,6,13,4,0,7,2
120,9524841,https://www.google.com/patents/US9524841,Heat detector with shape metal alloy element,12/20/16,20-Dec-16,10016,4,20,1,0,5,1
121,9523143,https://www.google.com/patents/US9523143,Oxidized-zirconium-alloy article and method therefor,12/20/16,20-Dec-16,10015,3,7,1,0,17,1
122,9523142,https://www.google.com/patents/US9523142,"Hot-dip zinc alloy coated steel sheet excellent in coating adhesion, and method for producing the same",12/20/16,20-Dec-16,10014,3,9,1,0,46,1
123,9523141,https://www.google.com/patents/US9523141,High strength Mg alloy and method for producing same,12/20/16,20-Dec-16,10013,5,10,2,0,10,1
124,9523140,https://www.google.com/patents/US9523140,Heat treatment process of high-Mg Er-microalloyed aluminum alloy cold-rolled plates resistant to intergranular corrosion,12/20/16,20-Dec-16,10012,5,8,2,0,4,1
125,9522220,https://www.google.com/patents/US9522220,Bioerodible magnesium alloy microstructures for endoprostheses,12/20/16,20-Dec-16,10011,1,62,30,1,19,2
126,9522219,https://www.google.com/patents/US9522219,Resorbable stents which contain a magnesium alloy,12/20/16,20-Dec-16,10010,6,13,3,0,21,1
127,9518566,https://www.google.com/patents/US9518566,Shape memory alloy actuation apparatus,12/13/16,13-Dec-16,10009,3,19,0,0,11,1
128,9518320,https://www.google.com/patents/US9518320,Copper alloy sputtering target,12/13/16,13-Dec-16,10008,3,4,0,0,8,1
129,9518314,https://www.google.com/patents/US9518314,Production method of extrusion billet and production method of magnesium alloy material,12/13/16,13-Dec-16,10007,7,4,1,0,19,1
130,9518313,https://www.google.com/patents/US9518313,"High strength, high toughness steel alloy",12/13/16,13-Dec-16,10006,1,21,5,0,22,0
131,9518312,https://www.google.com/patents/US9518312,"Al_‹ÓMg_‹ÓSi-based, casting aluminum alloy with excellent yield strength and cast member made thereof",12/13/16,13-Dec-16,10005,2,9,2,0,6,1
132,9517547,https://www.google.com/patents/US9517547,Super hard alloy baseplate outer circumference cutting blade and manufacturing method thereof,12/13/16,13-Dec-16,10004,4,18,4,0,6,1
133,9514856,https://www.google.com/patents/US9514856,Copper alloy,12/6/16,6-Dec-16,10003,4,27,2,0,16,1
134,9512731,https://www.google.com/patents/US9512731,"Ni based forged alloy, and turbine disc, turbine spacer and gas turbine each using the same",12/6/16,6-Dec-16,10002,3,9,2,0,14,1
135,9512657,https://www.google.com/patents/US9512657,Horizontal pushed aluminum alloy window with anti-falling mechanisms,12/6/16,6-Dec-16,10001,1,19,1,0,13,1
136,9512510,https://www.google.com/patents/US9512510,High-strength aluminum alloy and process for producing same,12/6/16,6-Dec-16,10000,1,30,11,0,8,1
137,9512507,https://www.google.com/patents/US9512507,Silver-white copper alloy and method of producing silver-white copper alloy,12/6/16,6-Dec-16,9999,3,13,7,0,4,2
138,9512506,https://www.google.com/patents/US9512506,High strength and high conductivity copper alloy rod or wire,12/6/16,6-Dec-16,9998,2,49,25,1,12,1
